deviceID,routeID,route.name,pointID,wetland.type,lat,lon,dt.start,dt.end
2,NB12,CFB-Gronegen,NB12-04,,NA,NA,2013-05-28,2013-06-04
2,NB12,CFB-Gronegen,NB12-04,,NA,NA,2013-06-04,2013-06-09
3,NB21,PortobelloE,NB21-04,,NA,NA,2013-05-18,2013-05-25
7,NB04,BlackDuckMarsh,NB04-02,,NA,NA,2013-05-19,2013-05-25
7,NB10,CFB-Gagetown51,NB10-08,,NA,NA,2013-05-28,2013-06-02
7,NB10,CFB-Gagetown51,NB10-08,,NA,NA,2013-06-01,2013-06-03
7,NA,Unknown,NA,,NA,NA,2013-06-09,2013-06-15
7,NA,Unknown,NA,,NA,NA,2013-06-20,2013-06-26
8,NB10,CFB-Gagetown51,NB10-05,,NA,NA,2013-06-15,2013-06-21
8,NB10,CFB-Gagetown51,NB10-05,,NA,NA,2013-06-20,2013-06-23
8,NB20,PortobelloC,NB20-SM,,NA,NA,2013-06-27,2013-07-02
NA,NA,NA,NA,,NA,NA,NA,NA
13,NB21,PortobelloE,NB21-08,,NA,NA,2013-05-17,2013-05-24
13,NB21,PortobelloE,NB21-08,,NA,NA,2013-05-25,2013-05-28
13,NB11,GagetownIsland,NB11-03,,NA,NA,2013-06-04,2013-06-09
18,NB08,CFB-Gagetown18,NB08-04,,NA,NA,2013-06-05,2013-06-09
18,NB04,BlackDuckMarsh,NB04-05,,NA,NA,2013-06-14,2013-06-20
18,NB21,PortobelloE,NB21-08,,NA,NA,2013-06-21,2013-06-27
26,NB12,CFB-Gronegen,NB12-SM,,NA,NA,2013-06-03,2013-06-09
1,NA,Beaubassin,NA,,NA,NA,2013-06-01,2013-06-05
1,NA,Beaubassin,NA,,NA,NA,2013-06-05,2013-06-11
6,NA,Midgic,NA,,NA,NA,2013-05-28,2013-06-02
6,NA,Midgic,NA,,NA,NA,2013-06-08,2013-06-13
11,NA,AmherstPoint,NA,,NA,NA,2013-05-23,2013-05-29
11,SaltMarsh,Kougibouguac,SaltMarsh,,NA,NA,2013-06-15,2013-06-21
11,SaltMarsh,Kougibouguac,SaltMarsh,,NA,NA,2013-06-21,2013-06-27
12,NA,BellMarsh,NA,,NA,NA,2013-06-03,2013-06-08
12,NA,BeechLake,NA,,NA,NA,2013-06-13,2013-06-19
21,NA,EastAmherstMarsh,NA,,NA,NA,2013-05-25,2013-05-30
21,NA,Dorchester,NA,,NA,NA,2013-06-06,2013-06-12
21,NA,Dorchester,NA,,NA,NA,2013-06-12,2013-06-17
21,NA,Dorchester,NA,,NA,NA,2013-06-17,2013-06-20
24,NA,Tintamarre,NA,,NA,NA,2013-05-19,2013-05-25
24,NA,Tintamarre,NA,,NA,NA,2013-05-25,2013-05-30
25,NA,BeechLake,NA,,NA,NA,2013-05-19,2013-05-25
25,NA,BeechLake,NA,,NA,NA,2013-05-25,2013-05-30
25,NA,Dieppe,NA,,NA,NA,2013-06-01,2013-06-07
25,NA,Dieppe,NA,,NA,NA,2013-06-07,2013-06-11
2,NB12,CFB-Gronegen,NB12-SM,,NA,NA,2013-06-15,2013-06-22
2,NB27,Timber-Fulton,NB27-06,,NA,NA,2013-06-23,2013-06-29
3,NB11,GagetownIsland,NB11-04,,NA,NA,2013-06-15,2013-06-21
3,NB20,PortobelloC,NB20-04,,NA,NA,2013-06-27,2013-07-08
19,NB04,BlackDuckMarsh,NB04-02,,NA,NA,2013-06-14,2013-06-20
19,NB04,BlackDuckMarsh,NB04-02,,NA,NA,2013-06-19,2013-06-20
19,NB21,PortobelloE,NB21-03,,NA,NA,2013-06-21,2013-06-26
22,NB12,CFB-Gronegen,NB12-05,,NA,NA,2013-06-16,2013-06-21
22,NB11,GagetownIsland,NB11-07,,NA,NA,2013-06-23,2013-06-29
23,NB11,GagetownIsland,NB11-04,,NA,NA,2013-06-20,2013-06-26
26,NB08,CFB-Gagetown18,NB08-03,,NA,NA,2013-06-16,2013-06-21
15,NB04,BlackDuckMarsh,NB04-01,,NA,NA,2013-06-18,2013-06-25
