"drive.letter","free.space","capacity","id","recordings","recording.hours","recording.gbs","recordings.empty","recordings.missing"
"F:",178500009984,2000334880768,"2",10063,2333.44773055556,1463908129344,1,0
"G:",489137340416,3000590397440,"13",3457,3953.68736111111,2510.863654912,9,0
"G:",584267182080,4000650883072,"17",9917,5378.87566111111,3416.129401856,14,0
"F:",12190179328,3000590397440,"14",2138,4632.60985,2941.962174464,24,0
"F:",61526495232,2000363188224,"6",8821,2956.27881944444,1877.647583745,11,0
"G:",739931848704,2000125165568,"4",9537,2011.73626388889,1259.591051156,0,0
"F:",871920078848,2000396320768,"16",602,1464.20227222222,929.846602752,6,0
"F:",19006689280,3000590397440,"15",2821,4621.79391944444,2935.116483072,19,0
"G:",841199247360,4000650883072,"1",3657,4966.61811111111,3154.12151552,14,0
"F:",118116057088,2000125165568,"3",8821,2956.27881944444,1877.647583744,11,0
"F:",847107149824,4000650883072,"5",3649,4957.36977777778,3148.24818944,14,0
"G:",28290482176,2000364236800,"12",9146,3100.18456111111,1969.044273152,12,0
"F:",25120940032,2000364236800,"11",9154,3104.38456111111,1971.711706112,12,0
"G:",38224502784,2000364236800,"10",9094,3083.74026111111,1958.59922432,27,0
"F:",203458035712,2000364236800,"9",8417,2824.38928055556,1793.8786048,25,0
"G:",408337170432,2000364236800,"8",7374,2473.90306111111,1571.271727104,8,0
"F:",38452854784,2000363188224,"7",8852,2965.42554444444,1883.457148416,11,0
"F:",218727317504,2000396742656,"22",13322,2626.33779166667,1649.99276686,1,0
"G:",72482816,2000125165568,"21",15654,3175.75414166667,1998.988800832,0,0
